Spanish,Polish
lugares,miejsca
ryan,Ryan
show,Pokazać
robo,Ukradłem
permite,To pozwala
parque,park
uds.,Ty.
roto,złamany
serie,Serie
puse,włożyłem
nuevas,Nowy
evidencia,dowód
conocerte,znam cię
estúpida,głupi
preocupe,martwić się
perdone,Przebaczyć
botella,butelka
viento,wiatr
mando,wysyłam
extraña,dziwny
historias,historie
aquella,że
tenéis,ty masz
solos,sam
apoyo,wsparcie dla
bala,pocisk
verdadera,Prawdziwe
tiro,rzucił
época,epoka
puente,most
olvídalo,zapomnij o tym
distancia,dystans
desea,chce
dejarlo,zostaw to
pelear,kłócić się
pierna,noga
echar,rzucić
descanso,przerwanie
américa,Ameryka
área,powierzchnia
orgulloso,dumny
datos,dane
espectáculo,pokazać
sube,idzie w górę
dejaste,Ty odszedłeś
acabas,Skończysz
verá,Zobaczysz
magia,magia
nacional,krajowy
universo,wszechświat
llevaba,miałem
necesitar,potrzebować
nariz,nos
aquellos,tych
clases,Lekcje
jake,Jake
casas,domy
vergüenza,wstyd
estarán,będzie
monstruo,potwór
princesa,księżniczka
autobús,autobus
cuidar,opiekować się
ei,Ei
huevos,jajka
pocos,mało
podrás,możesz
enferma,chory
paseo,spcerować
detalles,Detale
llamadas,połączenia
belleza,piękno
francia,Francja
abierto,otwarty
viviendo,żyjący
envió,Wysyłka
puntos,zwrotnica
ministro,Minister
conducir,jeździć
aceptar,akceptować
borracho,pijany
animal,zwierzę
caballos,Konie
trajo,Przyniósł
contrato,kontrakt
viernes,Piątek
bobby,Konstabl
martin,Jaskółka oknówka
amy,Amy
bienvenidos,Powitanie
ex,były
hechos,fakty
sociedad,społeczeństwo
dra.,Dra.
tengan,mieć
quede,pozostać
inglaterra,Anglia
carga,ciężar
diste,daliście
puto,pierdolony
lleve,niosłem
presente,Teraźniejszość
conocía,wiedziałem
uso,posługiwać się
dedos,palce
oferta,oferta
sentía,poczułem
proteger,chronić
daniel,Daniel
date,Data
hiciera,zrobiony
hablé,Rozmawiałem
recibir,otrzymać
agradezco,doceniam
robar,Kraść
enamorado,kochany
sepas,wiedzieć
oeste,Zachód
herida,rana
despacio,powoli
ayude,Wsparcie
supe,wiedziałem
directamente,bezpośrednio
inmediato,natychmiastowy
profesional,profesjonalny
oscuro,Ciemny
mercado,rynek
cerdo,mięso wieprzowe
tardes,wieczór
líder,Lider
grave,poważny
llegué,przybyłem
jurado,jury
casos,sprawy
acuerdas,Zgadzasz się
ahi,tam
desaparecido,zaginiony
debió,miał
hubieras,Miałbyś
últimamente,ostatnio
piedra,złóg
éramos,Byliśmy
habló,mówić
charles,Charles
paga,płacić
secretos,Tajniki
digamos,Powiedzmy
intención,zamiar
humor,humor
dura,ciężko
dará,dać
seguros,Ubezpieczenie
leo,Lew
adam,Adam
and,oraz
ángeles,aniołowie
querría,Chciałbym
cerrar,zamknąć
conseguido,osiągnięte
peso,waga
víctimas,ofiary
asesinado,zamordowany
humana,człowiek
directo,proste
central,centralny
termina,kończy się
compañeros,Towarzysze
escuchado,Słuchałem
contento,zadowolony
llevan,Niosą
podré,Będę mógł
oscuridad,ciemność
actuar,Działać
siga,Podążać
llevado,realizowane
comenzó,zaczęła się
regresa,wrócił
privado,prywatny
mirada,wyglądać
demonio,zło
abierta,otwarty
kevin,Kevin
m,m
llámame,Zadzwoń
siguen,Oni kontynuują
romper,przerwanie
cambia,Zmiana
fiscal,fiskalny
jardín,dziedziniec
natural,naturalny
gratis,darmowy
cuesta,koszt
amenaza,groźba
pon,położyć
marca,Marka
comenzar,zaczynać
ponte,położyć
medicina,lekarstwo
podremos,będziemy mogli
tomé,Brać
preciosa,cenny
sexual,seksualny
acceso,dostęp
necesidad,potrzebować
dueño,właściciel
merece,zasługuje na
rayos,Promień
d,d
mintiendo,kłamliwy
tantas,wiele
imagino,wyobrażam sobie
fantasma,duch
creerlo,Uwierz w to
llamé,dzwoniłem
ponga,Położyć
brian,Brian
dé,z
pollo,kurczak
varios,kilka
efecto,efekt
felicidad,szczęście
espada,miecz
relaciones,relacje
entró,wchodzę
resultado,wynik
sombrero,kapelusz
menor,drobny
recibido,Odebrane
negra,Czarny
to,do
habido,Były
limpio,Oczyszczone
china,Chiny
juegos,Gry
correo,Poczta
confía,Zaufanie
video,wideo
perfectamente,doskonale
harán,Oni zrobią
teatro,teatr
dormido,we śnie
local,lokalny
quedado,lewy
lástima,szkoda
calles,ulice
créeme,Zaufaj mi
responsabilidad,odpowiedzialność
búsqueda,Szukaj
dedo,palec
tonta,głupi
recuerdos,pozdrowienia
razones,powody
escuchando,słuchający
eric,Eric
elegir,wybierać
amas,Kochasz
huele,zapach
almuerzo,obiad
cien,Sto
adn,DNA
tantos,tak wiele
pago,Zapłata
normalmente,zwykle
mr,Pan
pastel,ciasto
bastardo,bękart
cinta,Opaska
pasé,dzieje się
dígame,powiedz mi
anna,Ania
costa,Wybrzeże
levántate,Wstań
llamando,powołanie
cerrado,Zamknięte
interés,odsetki
enfermera,pielęgniarka
comienzo,początek
olvidé,zapomniałem
fuese,To było
militar,wojskowy
polvo,pył
bella,piękny
quedo,Pozostaję
kate,Kate
encontraste,w przeciwieństwie do tego
voluntad,Będzie
varias,kilka
teoría,teoria
roja,Czerwony
cuento,fabuła
escenario,sceneria
diario,codzienny
propiedad,własność
agujero,otwór
aspecto,wygląd zewnętrzny
campamento,obóz
descansar,reszta
matarme,Zabij mnie
metido,zaangażowany
quiso,On chciał
ángel,Anioł
enviar,Wysłać
impresionante,Wspaniały
proceso,proces
intentado,wypróbowany
mio,moje
fuente,czcionka
alcalde,burmistrz
ocurrido,stało się
malos,zły
carretera,Autostrada
desapareció,On zniknął
desayuno,śniadanie
débil,słaby
roma,Rzym
sabido,znany
comienza,zaczyna się
tambien,Również
intentarlo,próbować
miembro,członek
perdiendo,przegrywający
hayan,mieć
fueras,Ty byłeś
resultados,wyniki
jerry,Nocnik
mata,Krzak
sr,Pan
valiente,odważny
deber,musieć
pecho,skrzynia
gustó,smak
oyes,słyszysz
thomas,Tomasz
periódico,Gazeta
mami,mamusia
piensan,Myślą
washington,Waszyngton
tv,telewizja
cansada,Zmęczony
limpiar,sprzątać
crear,do stworzenia
explicar,wyjaśnić
robado,Skradziony
resolver,rozwiązywać
maté,kumpel
guapo,Przystojny
continuar,kontynuować
sheriff,Szeryf
funcionar,funkcjonować
extra,dodatkowy
primo,kuzyn
manejar,uchwyt
primeros,pierwszy
acto,akt
poniendo,wystawienie
números,liczby
kilómetros,kilometry
andy,Andy
llevará,mieć przy sobie
rachel,Rachel
niñas,Dziewczyny
premio,nagroda
internet,Internet
harías,Ty byś zrobił
inútil,Bezużyteczny
domingo,Niedziela
tomas,Trwa
sensación,uczucie
alcohol,alkohol
tercera,trzeci
agentes,Agenci
disculpas,Przeprosiny
antiguo,starożytny
guapa,piękny
asustado,przestraszony
puedan,Móc
sexy,seksowny
genio,geniusz
recuperar,odzyskać
creemos,Wierzymy
lengua,język
ladrón,złodziej
intenté,próbowałem
examen,test
deprisa,szybki
montaña,Góra
durmiendo,spanie
disparar,strzelać
entrenador,trener
queso,ser
entero,cały
papeles,dokumenty tożsamości
pones,Położyłeś
modelo,Model
fútbol,piłka nożna
detener,mający
lados,boki
miembros,członkowie
sábado,Sobota
pongo,włożyłem
mataron,Oni zabili
vuelvas,Wróć
talento,talent
descubrir,odkryć
gordo,Tłuszcz
tribunal,Sąd
toque,Dotknąłem
wow,wow
hables,Ty mówisz
conocemos,Wiemy
haberme,mieć
dispuesto,gotowy
tamaño,rozmiar
dejen,Wyjechać
maravillosa,wspaniale
invitado,Gość
importantes,ważny
derechos,Prawa
scott,Scott
declaración,oświadczenie
claramente,Wyraźnie
pacientes,pacjenci
pérdida,strata
in,w
iban,szli
pudiste,Mógłbyś
profundo,głęboko
gas,gaz
aeropuerto,Lotnisko
consigue,Dostawać
olvidar,zapominać
gloria,chwała
olvides,Zapominać
volviendo,Wracając
coge,Brać
fué,to było
llamaba,dzwoniłem
pete,Pete
tendrán,Oni będą mieć
instituto,Instytut
disparo,Strzelanie
encuentras,Znalazles
querían,Chcieli
hablemos,Porozmawiajmy
dia,dzień
enviado,wysłać
pertenece,To należy
sienta,Czuć
pensó,myśl
cadáver,zwłoki
gracia,Łaska
doctora,lekarz
escuchen,słuchać
amante,kochanek
temporada,pora roku
kim,Kim
cuerpos,ciała
amigas,przyjaciele
larry,Larry
preguntaba,Zapytałam
francés,Francuski
mataste,zabić cię
techo,sufit
íbamos,Chodziliśmy
protección,ochrona
médicos,Lekarze
lisa,gładki
venganza,zemsta
pensamos,Myślimy
walter,Walter
contó,powiedział
discutir,kłócić się
comprendo,Rozumiesz
idiotas,idioci
enemigos,wrogowie
camisa,podkoszulek
superior,wyższy
criminal,kryminalista
preocupada,zmartwiony
bote,łódź
escribió,napisał
llevamos,my nosimy
testigos,Świadkowie
recoger,ulec poprawie
emily,Emilia
truco,sztuczka
jason,Jason
original,oryginał
pide,pyta
jeff,Jeff
rosa,Róża
mama,matka
negros,Czarni
sobrevivir,przeżyć
rostro,Twarz
crédito,kredyt
compartir,dzielić się
saca,wyciąga
irás,pójdziesz
pequeñas,mały
veía,Widziałem
empezando,startowy
registro,Rejestracja
continúa,kontynuować
grandioso,wspaniały
viniste,czy przyszedłeś
esquina,narożnik
contado,Gotówka
tengamos,Zróbmy
cientos,setki
tormenta,burza
relájate,po prostu wyluzuj
siéntese,Usiądź
chocolate,czekolada
matt,Matt
pedazo,kawałek
tomo,biorę
olor,zapach
ciencia,nauki ścisłe
kelly,Kelly
conexión,Połączenie
vieron,Zobaczyli
salón,salon
sucio,brudny
firma,podpis
vimos,widzieliśmy
pidiendo,pytając
casarse,pobrać się
bebida,napój
tercer,trzeci
propios,własny
fuertes,potężny
lluvia,deszcz
recién,nowo
tomaré,wezmę
complicado,skomplikowany
europa,Europa
toques,Dotknięci
cámaras,kamery
visión,wizja
llego,przybył
americano,amerykański
diversión,zabawa
pareció,wydawało się
libras,funty
curso,gatunek
disco,dysk
probable,prawdopodobny
precioso,piękny
tenia,miał
lago,jezioro
leído,czytać
consiguió,dostał
parecido,podobny
material,materiał
discurso,przemówienie
entera,cały
it,Przedmiot
corta,niski
completa,kompletny
decirles,Powiedz im
lunes,Poniedziałek
efectivo,gotówka
cura,gojenie : zdrowienie
antigua,starożytny
hablan,Oni mówią
juntas,razem
william,William
cáncer,nowotwór
funeral,pogrzeb
jodido,pierdolony
dave,Dave
artista,artysta
favorito,Ulubiony
guste,Tak jak
cae,spada
termine,skończyłem
entrevista,wywiad
sir,Pan
pintura,farba
quieto,nadal
falso,podróbka
india,Indie
corto,niski
inteligencia,inteligencja
destruir,zniszczyć
cargos,opłaty
podías,Mógłbyś
mentiras,kłamstwa
señoras,damski
helado,mrożony
felicidades,Gratulacje
camioneta,awangarda
mueve,ruszaj się
aparte,oprócz
rock,głaz
tumba,mogiła
seguimos,Kontynuujemy
hablaba,ona mówiła
verle,zobaczyć go
mapa,Mapa
tarea,zadanie
cambió,zmiana
móvil,mobilny
equivocada,zło
responder,odpowiadać
vacío,pusty
felicitaciones,Gratulacje
computadora,komputer
estudiante,student
muriendo,umierający
construir,tworzyć
conocen,Oni wiedzą
clara,jasne
solución,rozwiązanie
mundial,świat
plato,danie
famoso,słynny
des,des
dirá,Powie
ambas,Zarówno
tecnología,technologia
notas,klas
malditos,Cholera
cabrón,głupek
condiciones,warunki
dudo,wątpię
robó,kradzież
escucho,słucham
laura,Laura
rápidamente,szybko
bordo,tablica
nieve,śnieg
mensajes,wiadomości
fecha,data
violencia,przemoc
n,n
sujeto,Przedmiot
acciones,działania
fría,przeziębienie
droga,lek
saldrá,Okaże się
suponía,przypuszczalny
empezamos,Zaczynamy
errores,błędy
grace,Łaska
siglo,wiek
molesto,smutny
acabamos,skończyliśmy
sabéis,"Wiesz, że"
cortar,skaleczenie
seria,byłoby
muevas,ruszaj się
fortuna,fortuna
of,z
imaginar,Wyobrazić sobie
archivos,dokumentacja
presencia,obecność
familias,rodziny
ey,Hej
quedas,Ty zostań
solas,sam
oficiales,Oficerowie
aventura,przygoda
gira,wycieczka
social,Społeczny
comunidad,wspólnota
annie,Annie
alan,Alan
cero,zero
clark,Clark
esperamos,czekamy
ocupada,zajęty
muévete,pójść dalej
convertido,Przekształcony
carl,Carl
pieza,część
estómago,żołądek
disparó,Strzelanie
legal,prawny
conseguí,mam
emma,Emma
carter,miska olejowa
california,Kalifornia
rara,dziwny
estudiantes,studenci
reino,Królestwo
alegría,szczęście
barrio,sąsiedztwo
granja,gospodarstwo rolne
podéis,możesz
esfuerzo,wysiłek
trabajaba,pracowałem
claire,Claire
perdóname,Wybacz mi
tesoro,skarb
empleo,stanowisko
compré,kupiłem
cirugía,Chirurgia
dejamos,Opuszczamy
busco,Szukam
trabajas,pracujesz
clave,Kod Klucza
aparentemente,widocznie
bravo,Brawo
ed,wyd
desearía,chciałbym
cerrada,Zamknięte
new,Nowy
chicago,Chicago
controlar,sprawdzać
pregunté,pytałem o
mostrar,pokazywać
piloto,pilot
pocas,mało
tuvieron,Oni mieli
ayudarle,pomóc Ci
bolso,torebka
llorando,płacz
kyle,Kyle
duerme,spać
dejarme,Zostaw mnie
intentó,wypróbowany
respirar,oddychać
aparece,pojawić się
campaña,kampania
amistad,przyjaźń
corriente,strumień
viven,oni żyją
huesos,Kości
invitados,goście
planta,zakład
ritmo,huśtać się
respuestas,Odpowiedzi
socio,partner
esperas,Oczekujesz
caído,upadły
motor,silnik
mono,kokarda
llevaron,Nieśli
página,strona
poquito,trochę
u,lub
habíamos,Mieliśmy
encontraremos,My znajdziemy
ruego,błagam
dejan,Odejdź
aburrido,znudzony
paquete,pakiet
casada,żonaty
llevarte,Zabierz cię
ted,Przetrząsać
combate,walka
útil,Użyteczne
castillo,zamek
bola,piłka
canciones,Piosenki
mataré,zabiję
muchísimo,bardzo
asistente,uczestnik
llegaron,Przybyli
correcta,prawidłowy
pondré,położę
simon,Szymon
comido,Zjedzony
salgan,schodzić
empecé,ja zacząłem
tirar,rzucić
pasan,podawać
cierta,PRAWDA
honesto,uczciwy
carro,samochód
limpia,czysty
volví,wróciłem
confío,ja ufam
venta,wyprzedaż
huir,uciec
apareció,pokazał się
vais,ty idź
compromiso,zaangażowanie
gustas,Tak jak
aseguro,zapewniam
ira,zamierzać
promesa,obietnica
decírselo,Powiedz mu
cuáles,który
compras,zakupy
importancia,znaczenie
lección,lekcja
hablaré,będę mówił
hacerse,być zrobionym
personalmente,osobiście
roger,zrozumiałem
luke,Łukasz
bolsillo,kieszeń
enojado,zirytowany
desgracia,nieszczęście
artículo,Artykuł
labios,usta
cola,ogon
estemos,Let
whisky,whisky
taza,Miska
despues,później
gary,Gary
preguntarte,zapytać ciebie
pelota,piłka
caminando,pieszy
andar,spcerować
crea,tworzy
chaqueta,kurtka
importaría,umysł
den,legowisko
llegará,zasięg
interesado,zainteresowany
atrapado,złapany
supiera,Wiedziałem
matarlo,Zabij go
árboles,drzewa
obvio,oczywiste
amaba,kochałem
hablaremos,będziemy rozmawiać
entrenamiento,trening
pescado,ryba
últimas,Ostatni
pobres,słaby
dioses,bogowie
nerviosa,nerwowy
vueltas,rundy
encontrarlo,Znajdź go
autos,samochody
alice,Alice
preguntarle,Zapytaj go
lucy,Lucy
abrigo,płaszcz
okay,OK
estudiar,uczyć się
b,b
sonrisa,uśmiech
cobarde,tchórz
olvida,Zapominać
secundaria,wtórny
descubierto,odkryty
convirtió,Przekształcony
coches,samochody
venía,przyszło
josh,Josh
charla,czat
vives,żyjesz
bruja,czarownica
c,c
celular,komórka
rose,Róża
rompió,zepsuł się
andando,pieszy
vean,Widzieć
conseguiste,Masz
susan,Susan
veinte,20
encargo,opłata
matarte,zabić cię
palacio,pałac
convierte,Konwertować
ja,ha
vivos,żywy
pasamos,"zdaliśmy, minęliśmy"
firme,podpisać
daría,dałby
piense,Myśleć
oigo,słyszę
phil,Phil
sorprende,niespodzianka
alemanes,Niemcy
milagro,cud
soportar,znosić
dejaron,Wyszli
smith,Kowal
disculpen,wybaczcie mi
moda,moda
despacho,gabinet
vecinos,sąsiedzi
vaso,szkło
dejarte,Zostaw cię
explosión,pękać
poderes,uprawnienie
regla,reguła
acaban,oni skończyli
copia,Kopiuj
siguiendo,Następny
viajar,podróżować
cadena,strunowy
fábrica,fabryka
mantiene,utrzymuje
meter,położyć
contenta,szczęśliwy
comiendo,jedzenie
educación,Edukacja
maneras,sposoby
fumar,palić
encantador,uroczy
cuantos,wiele
homicidio,zabójstwo
madera,drewno
mayores,większy
grado,stopień
tratamiento,leczenie
blancos,Biały
lord,Lord
anterior,poprzedni
comisario,komisarz
pizza,Pizza
millas,Mile
tira,rozebrać się
fueran,Byli
cumplir,zastosować się
plata,srebro
quedará,Pozostanie
quedaré,zostanę
aléjate,uciec
decidir,zdecydować
lío,bałagan
preguntó,pytam
agencia,agencja
humanidad,ludzkość
usado,używany
guardias,gwardia
parada,Zatrzymaj się
leyes,Prawa
funcionó,zadziałało
odia,nienawidzi
levanta,Podnieść
mires,wyglądać
respira,Oddychać
escaleras,drabiny
decisiones,decyzje
queréis,Chcesz
salvaje,dziki
preguntando,pytając
pasos,Kroki
ambulancia,karetka
traducción,tłumaczenie
trabajado,Oszał
básicamente,zasadniczo
tratado,traktat
parado,zatrzymany
especiales,specjalny
mentiroso,kłamca
libres,darmowy
servicios,usługi
pedirle,Poproś o niego
vivía,ona żyła
medios,głoska bezdźwięczna
compra,zakup
conocimiento,wiedza
armario,szafa
lobo,Wilk
quedamos,zostajemy
ciertamente,z pewnością
permitir,umożliwić
tráfico,ruch drogowy
uniforme,mundur
estuvimos,Byliśmy
alemania,Niemcy
suave,gładki
propias,własny
balas,kule
asqueroso,paskudny
ciento,sto
invierno,zima
consigo,z nim
encuentre,Odnaleźć
jenny,Przędzarka
conductor,kierowca
equipos,ekwipunek
arena,piasek
park,Park
licencia,licencja
tíos,wujkowie
jackson,Jackson
dijera,Mówić
espejo,lustro
marina,Morski
matando,zabicie
seres,Istoty
fiestas,imprezy
mover,ruszaj się
coincidencia,zbieg okoliczności
análisis,analiza
llegando,przyjazd
azúcar,cukier
tim,Tim
casar,ożenić
sótano,piwnica
volvamos,wracajmy
sabrá,będzie wiedział
taylor,Taylor
ocasión,szansa
cheque,sprawdzać
revisar,sprawdzać
ponerme,Postaw siebie
suceder,zdarzyć
acusado,oskarżony
dímelo,powiedz mi
quedé,zostałem
conciencia,świadomość
doc,Doc
pesadilla,koszmar
sopa,zupa
saltar,pomijać
heridas,rany
pienses,myśleć
suicidio,samobójstwo
llamarme,Zadzwoń
posibilidades,szanse
elegido,Wybraniec
divorcio,rozwód
registros,Dokumentacja
recibí,otrzymałem
joey,Joey
escuchas,Ty słuchasz
mirad,Ujrzeć
pierde,Misses
abogados,Prawnicy
trataba,traktowałem
americanos,Amerykanie
llevando,ma na sobie
miel,miód
regrese,wróciłem
dilo,Powiedz to
hermanas,siostry
alemán,Niemiecki
iría,poszedł
lady,Dama
salí,wyszedłem
particular,konkretny
miras,wyglądasz
frontera,granica
ventaja,korzyść
alerta,alarm
piscina,basen
regalos,Prezenty
comportamiento,zachowanie
julia,Julia
señales,sygnały
salimos,Wyszliśmy
revista,czasopismo
hecha,zrobiony
imágenes,obrazy
llegas,przybywasz
rápida,szybki
canal,kanał
paciencia,cierpliwość
sacado,wyjęty
echo,wyrzucił
crisis,kryzys
asesinos,mordercy
oíste,słyszałeś
dejando,Odjazd
estarías,Byłbyś
anteriormente,poprzednio
vigilancia,nadzór
desierto,pustynia
asustada,przestraszony
cuerda,strunowy
míos,moje
chuck,Gdakanie
seguido,Następny
seremos,Będziemy
morgan,Morgan
pene,penis
despierto,obudzić
gobernador,gubernator
sección,Sekcja
casarme,wyjść za mąż
trabajos,Oferty pracy
karen,Karen
preparados,przygotowany
murieron,Umarli
oso,niedźwiedź
curiosidad,ciekawość
vd.,ty.
hank,Motek
impresión,Wydrukować
pez,ryba
pasaba,przeszedł
escuchaste,słuchałeś
torre,wieża
sientas,Czujesz
mentir,kłamać
pasillo,korytarz
juega,bawić się
suéltame,Puścić
arresto,aresztować
ricos,bogaty
sencillo,łatwo
ruta,trasa
documentos,Dokumenty
enamorada,zakochany
apuesta,Zakład
perdida,strata
vinieron,Oni przyszli
ayudarnos,Pomóż nam
presento,Prezentuje
hazme,Zmuś mnie
leí,czytam
arthur,Arthur
virus,wirus
lárgate,Wyjść
sigan,Podążać
compró,ja kupuję
servir,obsługiwać
pongas,Położyć
alarma,alarm
identidad,tożsamość
iguales,równy
aviso,ostrzeżenie
aprendido,nauczyli
caza,polowanie
daba,dał
muchacha,dziewczyna
permanecer,zostawać
bebés,pijesz
opciones,opcje
responde,Odpowiadać
vernos,Zobacz nas
julie,Julie
llamaste,nazywa
ponerse,zakładać
sacó,płaszcz
orgullo,duma
reales,prawdziwy
esperan,czekają
vuelves,Wracasz
maggie,Maggie
serlo,być
cuantas,ile
enfadado,wkurzony
ponen,Włożyli
altura,wzrost
jones,Jones
archivo,"Plik, archiwum"
fred,Fred
ayudará,pomóc
fácilmente,z łatwością
criatura,kreatura
saco,płaszcz
precisamente,dokładnie
máximo,maksymalny
viniendo,nadchodzący
vendría,To by przyszło
louis,Louis
ilegal,nielegalny
refiere,odnosi się
llamamos,Nazywamy
versión,wersja
incendio,ogień
preferiría,wolałbym
gritar,krzyczeć
recibió,Otrzymał
concierto,koncert
casualidad,szansa
excusa,wymówka
rodillas,kolana
cruz,krzyż
dulces,Słodkie
zorra,lis
cómodo,wygodna
cruel,okrutny
sofá,sofa
perdiste,przegrałeś
encantadora,śliczny
salgamos,wyjdźmy
sombra,cień
ganó,wygrał
encantada,miło mi cię poznać
firmar,podpisać
escritorio,biurko
muñeca,nadgarstek
rastro,namierzać
gigante,ogromny
pájaro,ptak
ducha,kabina prysznicowa
tomamos,bierzemy
déjenme,zostaw mnie
condición,stan
recompensa,nagroda
doce,godzina dwunasta
actor,aktor
actitud,nastawienie
cuida,opiekować się
salsa,sos
hubieran,byłoby
carlos,Charles
personaje,postać
dudas,Wątpienie
jackie,Jackie
cambios,zmiany
votos,głosy
vivido,żywy
perdimos,Przegraliśmy
suficientes,wystarczająco 
entrega,dostawa
comercial,Reklama w telewizji
decidí,zdecydowałem
tribu,plemię
pura,Czysty
volveremos,wrócimy
voto,głosować
méxico,Meksyk
amar,kochać
poderoso,potężny
traigo,przynoszę
asesinatos,Morderstwa
fresco,Fajny
privada,prywatny
seamos,Bądźmy
guarda,strażnik
orgullosa,dumny
vivimos,Żyjemy
difíciles,trudny
hagámoslo,Zróbmy to
jefa,szef
trató,sprawa
senador,senator
ayudando,Porcja jedzenia
campeón,mistrz
bebiendo,Picie
adorable,uroczy
ayudó,pomógł
ciego,ślepy
falsa,fałszywy
jo,Jo
sara,Sara
bestia,bestia
alteza,wysoki król
deseos,życzenia
episodio,epizod
celda,komórka
llevarlo,trzymaj to
aguanta,utrzymać
vengas,Przyjeżdżacie
jueves,Czwartek
montañas,góry
pensamientos,myśli
medianoche,środek nocy
llevarme,Weź mnie
garganta,gardło
sesión,sesja
pensaste,Myśl
diles,Powiedz im
muera,umierać
coma,jeść
sentimos,Czujemy się
creas,Wierzysz
escribe,pisać
identificación,ID
circunstancias,okoliczności
preguntado,spytał
veneno,zatruć
primavera,wiosna
súper,super
vuestros,twój
queríamos,Chcieliśmy
aquello,że
preocuparse,martwić się
martes,Wtorek
feo,brzydki
cristo,Chrystus
francisco,Francisco
howard,Howard
virgen,dziewica
distrito,dzielnica
decidió,On zdecydował
reputación,reputacja
socorro,Pomoc
encontraré,znajdę
castigo,kara
dígale,Powiedz mu
límite,limit
junta,spotkanie
ponerte,założyć
casados,żonaty
líneas,linie
estudios,studia
muévanse,ruszaj się
audiencia,publiczność
helen,Helen
nació,urodził się
mato,Mato
jugador,gracz
hmm,HMM
humo,palić
popular,popularny
nación,naród
conocimos,Spotkaliśmy się
tropas,wojsko
sucediendo,wydarzenie
explicación,Wyjaśnienie
salen,Odeszli
discúlpeme,wybaczcie mi
presentar,przedstawiać
donna,Donna
celebrar,świętować
competencia,konkurencja
envía,Wysłać
mantén,Trzymać
verlos,Zobacz ich
biblioteca,biblioteka
fila,wiersz
ésto,ten
misterio,tajemnica
ganador,zwycięzca
puerto,Port
vehículo,pojazd
escapó,uciekł
traeré,Przyniosę
julio,Lipiec
lograr,osiągnąć
desaparecer,znikać
muero,umieram
quítate,Usunąć
favorita,Ulubiony
patio,dziedziniec
golpeó,uderzyć
tontería,niedogodność
miss,Tęsknić
pecado,grzech
comité,komisja
preparada,przygotowany
comprado,kupił
parezca,Wydaje się
emocionante,ekscytujący
caras,twarze
rescate,ratowanie
título,tytuł
llegaste,przybyłeś
decírtelo,Powiedz ci
adivina,zgadywać
elizabeth,Elizabeth
pánico,panika
barry,Barry
quieran,chcieć
abby,Abby
exterior,Zewnętrzny
pasión,pasja
llegan,Przybyli
preparar,organizować coś
guau,wow
patrick,Patrick
tierras,grunt
demostrar,pokazać
elegante,Elegancki
asegurarme,Upewnić się
visitar,wizyta
asegúrate,Upewnić się
darles,daj im
cabezas,Głowy
abra,otwarty
andrew,Andrzej
dean,dziekan
ambiente,otoczenia
conde,liczyć
urgente,pilne
impuestos,podatki
antonio,Antonio
distinto,odrębny
encantan,Kochają
ron,Ron
marcas,marki
ayudarlo,Pomóż mu
leyendo,Czytanie
adecuado,właściwy
cajas,pudła
abandonar,Wyjechać
dispara,strzelać
buscamos,Szukamy
funcionando,pracujący
traté,próbowałem
cia,Inc
tomen,Brać
darnos,daj nam
intentas,Próbujesz
lily,Lilia
gustado,lubił
jamie,Jamie
luchando,zmagający się
apesta,śmierdzi
volando,latający
periódicos,Gazety
lucas,Łukasz
detenido,zatrzymany
curioso,ciekawski
tetas,cycki
caro,kosztowny
asco,niesmak
usó,posługiwać się
buscas,Szukasz
amanda,Amanda
salgo,idę na zewnątrz
decirnos,Powiedz nam
enseñó,Uczę
rick,Stóg
mírate,Spójrz na siebie
stan,Stan
debiste,Jesteś winien
océano,ocean
bolas,kulki
nuevamente,ponownie
damos,dajemy
pagado,wypłacone
federal,federalny
cuán,Jak
escalera,drabina
acepto,zgadzam się
km,km
terapia,terapia
lágrimas,łzy
terreno,grunt
autoridad,autorytet
encuentran,odnaleźć
roca,złóg
superficie,powierzchnia
cubierta,talia kart
terry,Terry
hierba,ziele
juan,Jan
prometido,narzeczony
crecer,Dorastanie
mental,psychiczny
extranjero,Zagraniczny
madame,Pani
prometí,Obiecałem
mismas,to samo
existen,istnieć
veas,idź do s
lento,wolny
dirige,reżyseruje
capaces,zdolny
chino,chiński
vuelvan,Zwrócić
meta,bramka
suelta,luźny
despedida,pożegnanie
sucedido,stało się
pasta,makaron
cristal,kryształ
vegas,Vegas
gritando,Krzyczenie
pare,Zatrzymaj się
peces,ryby
brown,brązowy
guardar,ratować
podían,Mogliby
sabían,Oni wiedzieli
literalmente,dosłownie
salvó,oprócz
aprecio,uznanie
fotografía,Fotografia
patrón,Wzorzec
esposas,żony
king,Król
desafío,wyzwanie
asombroso,zdumiewający
pedazos,sztuki
robin,Rudzik
sales,ty wyjdź
clínica,klinika
atrapar,złapać
experto,ekspert
medida,mierzyć
tele,telewizja
desagradable,nieprzyjemny
custodia,opieka
nacido,urodzić się
anuncio,ogłoszenie
física,fizyczny
hollywood,Hollywood
empezado,zaczęła się
ma,mama
fiebre,gorączka
johnson,Johnson
compañera,partner
ayudarla,Pomóż jej
desgraciado,niefortunny
organización,organizacja
echa,Echa
mina,moje
honestamente,szczerze
deuda,dług
digan,mówić
transporte,transport
cocinar,gotować
delicioso,pyszne
podíamos,moglibyśmy
greg,Greg
dirás,Powiesz
habilidades,umiejętności
