Unnamed: 0,Spanish,Polish
1314,dejaré,opuszczę
1315,evitar,unikać
1316,máquina,maszyna
1317,cuello,szyja
1318,conocí,spotkałam się
1319,tiempos,czas
1320,tome,Brać
1321,nick,Nacięcie
1322,animales,Zwierząt
1323,alex,Alex
1324,acaso,być może
1325,tuviera,miał
1326,pareja,partner
1327,verano,lato
1328,escuché,słuchać
1329,ama,Miłość
1330,serás,będziesz
1331,mentira,kłamstwo
1332,tarjeta,karta
1333,hagan,robić
1334,perdí,Spóźniłam się
1335,correr,biegać
1336,steve,Steve
1337,traído,przyniósł
1338,llegue,przybyłem
1339,preparado,przygotowany
1340,haberlo,mieć
1341,tony,Tony
1342,usa,użycie
1343,intentar,próba
1344,ayudarme,Pomóż mi
1345,flores,kwiaty
1346,dando,dający
1347,vos,ty
1348,opción,opcja
1349,isla,wyspa
1350,cierra,Blisko
1351,piel,skóra
1352,enemigo,wróg
1353,dejo,lewy
1354,exacto,dokładny
1355,imbécil,głupiec
1356,jóvenes,młodzież
1357,pedido,zamówienie
1358,larga,długie
1359,entiende,rozumie
1360,justicia,Sprawiedliwość
1361,nuevos,Nowy
1362,obviamente,oczywiście
1363,despierta,Obudź się
1364,pido,pytam
1365,calor,ciepło
1366,luces,światła
1367,refiero,To znaczy
1368,fuimos,wszedł 
1369,batalla,bitwa
1370,déjalo,Zostaw to w spokoju
1371,intenta,Próbować
1372,sarah,Sarah
1373,fantástico,fantastyczny
1374,brazo,ramię
1375,absolutamente,absolutnie
1376,llena,pełny
1377,hacerme,zmuś mnie
1378,salga,na zewnątrz
1379,recordar,zapamiętać
1380,escapar,uciec
1381,bosque,las
1382,gay,Gay
1383,señores,Sirs
1384,quedan,Pozostają one
1385,piernas,nogi
1386,visita,wizyta
1387,parís,Paryż
1388,usando,ma na sobie
1389,ganado,żywy inwentarz
1390,movimiento,ruch
1391,blanca,biały
1392,rico,bogaty
1393,inocente,niewinny
1394,pesar,ważyć
1395,absoluto,absolutny
1396,vacaciones,wakacje
1397,um,um
1398,mismos,to samo
1399,tomado,zajęty
1400,habías,Ty byłeś
1401,planes,Plany
1402,cine,kino
1403,toca,Dotknięci
1404,brillante,lśniące
1405,confianza,zaufanie
1406,vuestra,twój
1407,nombres,Nazwy
1408,especialmente,szczególnie
1409,fbi,FBI
1410,embarazada,w ciąży
1411,esperen,Czekać
1412,pantalones,Spodnie
1413,defensa,obrona
1414,terminó,termin
1415,salido,wyszedł
1416,estupendo,Świetnie
1417,jane,Jane
1418,presión,Nacisk
1419,inmediatamente,od razu
1420,testigo,świadek
1421,deberían,Oni powinni
1422,olvidado,zapomniany
1423,soldados,żołnierski
1424,resulta,wynik
1425,tommy,Tommy
1426,depende,zależy
1427,motivo,powód
1428,inglés,język angielski
1429,suya,jej
1430,estudio,nauka
1431,acabar,koniec
1432,sentimientos,uczucia
1433,tomando,nabierający
1434,dieron,Dali
1435,parecen,wyglądają na
1436,llaves,Klucze
1437,perros,psy
1438,propósito,zamiar
1439,noticia,Aktualności
1440,partir,Odejdź
1441,vuestro,twój
1442,metros,metry
1443,santa,Święty
1444,quedarse,zostać
1445,clientes,klienci
1446,podrá,Móc
1447,cuántas,ile
1448,ridículo,śmieszny
1449,damas,damski
1450,estuviste,Ty byłeś
1451,tranquila,cichy
1452,operación,operacja
1453,come,jeść
1454,empresa,biznes
1455,ayúdame,Pomóż mi
1456,laboratorio,laboratorium
1457,elección,wybór
1458,menudo,często
1459,beso,pocałunek
1460,copa,Filiżanka
1461,conversación,rozmowa
1462,brazos,ramiona
1463,espíritu,duch
1464,dejas,pozwalasz
1465,cansado,zmęczony
1466,interesa,zainteresowania
1467,refieres,Masz na myśli
1468,casado,żonaty
1469,enorme,ogromny
1470,asuntos,spraw
1471,fe,wiara
1472,muestra,próbka
1473,trampa,pułapka
1474,ray,Promień
1475,billy,Menażka
1476,memoria,pamięć
1477,johnny,Jasio
1478,contrario,przeciwnie
1479,soldado,żołnierz
1480,subir,wchodzić
1481,turno,skręcać
1482,encantaría,Zachwyciłbym
1483,preocupado,zainteresowany
1484,restaurante,restauracja
1485,saliendo,wychodzić
1486,escrito,pisemny
1487,cálmate,Spokojnie
1488,bienvenida,Witam
1489,caer,spadek
1490,llevaré,Będę nosić
1491,leche,mleko
1492,estrellas,gwiazdy
1493,prefiero,wolę
1494,red,internet
1495,viejos,stary
1496,solamente,tylko
1497,oiga,Słuchać
1498,estén,są
1499,cuentas,Konta
1500,taxi,taksówka
1501,anillo,dzwonić
1502,richard,Richard
1503,preguntar,zapytać
1504,victoria,zwycięstwo
1505,quiénes,Kto to jest
1506,héroe,bohater
1507,pequeños,maluchy
1508,decidido,zdecydowany
1509,películas,filmy
1510,responsable,odpowiedzialny
1511,trago,drink
1512,volverá,Wrócić do
1513,árbol,drzewo
1514,ibas,Ty byłeś
1515,dientes,zęby
1516,encantado,zachwycony
1517,camión,ciężarówka
1518,vender,Sprzedać
1519,llame,dzwoniłem
1520,detente,Zatrzymaj się
1521,luchar,walka
1522,cabo,peleryna
1523,ruido,hałas
1524,lucha,walka
1525,muere,Idź martwy
1526,reloj,zegar
1527,gato,kot
1528,averiguar,rozwiązać
1529,volar,latać
1530,vayamos,Chodźmy
1531,tanta,Tak wiele
1532,vendrá,przyjdzie
1533,corriendo,w pośpiechu
1534,yendo,pójście
1535,colegio,Szkoła Wyższa
1536,sonido,dźwięk
1537,caballero,Rycerz
1538,pasada,podawać
1539,código,kod
1540,hagamos,Zróbmy
1541,imagen,obraz
1542,riesgo,ryzyko
1543,llegamos,dotarliśmy
1544,alguno,niektóre
1545,pan,chleb
1546,millón,milion
1547,malas,zły
1548,dama,dama
1549,hielo,lód
1550,coño,stożek
1551,cayó,to spada
1552,prensa,naciśnij
1553,querer,chcieć
1554,vengan,chodź
1555,eddie,Eddie
1556,caminar,iść
1557,televisión,telewizja
1558,pasará,to się stanie
1559,momentos,Chwile
1560,coger,Brać
1561,posibilidad,możliwość
1562,hubiese,byłoby
1563,mark,Ocena
1564,asiento,siedzenie
1565,tuviste,Widziałeś
1566,herido,ranny
1567,maría,Maria
1568,seguramente,pewno
1569,proyecto,Projekt
1570,pared,Ściana
1571,sentí,poczułem
1572,sospechoso,podejrzany
1573,naturaleza,Natura
1574,ésa,ten
1575,silla,krzesło
1576,perdió,Stracony
1577,robert,Robert
1578,policías,Policja
1579,arreglar,zorganizować
1580,sentado,siedzący
1581,papi,Tatuś
1582,ideas,Pomysły
1583,obtener,Dostawać
1584,felices,Szczęśliwy
1585,señoría,panowanie
1586,cantidad,ilość
1587,bebe,Dziecko
1588,mírame,Spójrz na mnie
1589,chris,Chris
1590,papa,tata
1591,llorar,opłakiwać
1592,quedó,To było
1593,familiar,rodzina
1594,desastre,katastrofa
1595,locos,zwariowany
1596,escuche,słuchałem
1597,quedarte,zostawać
1598,política,Polityka
1599,pedí,Zapytałam
1600,sois,ty jesteś
1601,nosotras,my
1602,will,Będzie
1603,enfermedad,choroba
1604,encontraron,Znaleźli
1605,colega,kolega z pracy
1606,príncipe,księciem
1607,verde,Zielony
1608,bajar,spadać
1609,nervioso,Wysoce uderzone
1610,vengo,przychodzę
1611,inspector,inspektor
1612,sirve,służy
1613,puertas,drzwi
1614,fuerzas,siły
1615,playa,plaża
1616,cantar,śpiewać
1617,déjeme,Zostaw mnie
1618,velocidad,prędkość
1619,total,całkowity
1620,cabello,włosy
1621,suficientemente,wystarczająco 
1622,huellas,Ślady
1623,haberte,czy ty
1624,debí,Debí
1625,unidad,Jednostka
1626,estan,są
1627,cuchillo,nóż
1628,t,t
1629,oigan,Hej
1630,quienes,kto
1631,gana,Wygrać
1632,tonterías,bzdury
1633,emergencia,nagły wypadek
1634,perfecta,Idealny
1635,hable,Rozmawiałem
1636,gustaba,lubił
1637,lugares,miejsca
1638,ryan,Ryan
1639,show,Pokazać
1640,robo,Ukradłem
1641,permite,To pozwala
1642,parque,park
1643,uds.,Ty.
1644,roto,złamany
1645,serie,Serie
1646,puse,włożyłem
1647,nuevas,Nowy
1648,evidencia,dowód
1649,conocerte,znam cię
1650,estúpida,głupi
1651,preocupe,martwić się
1652,perdone,Przebaczyć
1653,botella,butelka
1654,viento,wiatr
1655,mando,wysyłam
1656,extraña,dziwny
1657,historias,historie
1658,aquella,że
1659,tenéis,ty masz
1660,solos,sam
1661,apoyo,wsparcie dla
1662,bala,pocisk
1663,verdadera,Prawdziwe
1664,tiro,rzucił
1665,época,epoka
1666,puente,most
1667,olvídalo,zapomnij o tym
1668,distancia,dystans
1669,desea,chce
1670,dejarlo,zostaw to
1671,pelear,kłócić się
1672,pierna,noga
1673,echar,rzucić
1674,descanso,przerwanie
1675,américa,Ameryka
1676,área,powierzchnia
1677,orgulloso,dumny
1678,datos,dane
1679,espectáculo,pokazać
1680,sube,idzie w górę
1681,dejaste,Ty odszedłeś
1682,acabas,Skończysz
1683,verá,Zobaczysz
1684,magia,magia
1685,nacional,krajowy
1686,universo,wszechświat
1687,llevaba,miałem
1688,necesitar,potrzebować
1689,nariz,nos
1690,aquellos,tych
1691,clases,Lekcje
1692,jake,Jake
1693,casas,domy
1694,vergüenza,wstyd
1695,estarán,będzie
1696,monstruo,potwór
1697,princesa,księżniczka
1698,autobús,autobus
1699,cuidar,opiekować się
1700,ei,Ei
1701,huevos,jajka
1702,pocos,mało
1703,podrás,możesz
1704,enferma,chory
1705,paseo,spcerować
1706,detalles,Detale
1707,llamadas,połączenia
1708,belleza,piękno
1709,francia,Francja
1710,abierto,otwarty
1711,viviendo,żyjący
1712,envió,Wysyłka
1713,puntos,zwrotnica
1714,ministro,Minister
1715,conducir,jeździć
1716,aceptar,akceptować
1717,borracho,pijany
1718,animal,zwierzę
1719,caballos,Konie
1720,trajo,Przyniósł
1721,contrato,kontrakt
1722,viernes,Piątek
1723,bobby,Konstabl
1724,martin,Jaskółka oknówka
1725,amy,Amy
1726,bienvenidos,Powitanie
1727,ex,były
1728,hechos,fakty
1729,sociedad,społeczeństwo
1730,dra.,Dra.
1731,tengan,mieć
1732,quede,pozostać
1733,inglaterra,Anglia
1734,carga,ciężar
1735,diste,daliście
1736,puto,pierdolony
1737,lleve,niosłem
1738,presente,Teraźniejszość
1739,conocía,wiedziałem
1740,uso,posługiwać się
1741,dedos,palce
1742,oferta,oferta
1743,sentía,poczułem
1744,proteger,chronić
1745,daniel,Daniel
1746,date,Data
1747,hiciera,zrobiony
1748,hablé,Rozmawiałem
1749,recibir,otrzymać
1750,robar,Kraść
1751,enamorado,kochany
1752,sepas,wiedzieć
1753,oeste,Zachód
1754,herida,rana
1755,despacio,powoli
1756,ayude,Wsparcie
1757,supe,wiedziałem
1758,directamente,bezpośrednio
1759,inmediato,natychmiastowy
1760,profesional,profesjonalny
1761,oscuro,Ciemny
1762,mercado,rynek
1763,cerdo,mięso wieprzowe
1764,tardes,wieczór
1765,líder,Lider
1766,grave,poważny
1767,llegué,przybyłem
1768,jurado,jury
1769,casos,sprawy
1770,acuerdas,Zgadzasz się
1771,ahi,tam
1772,desaparecido,zaginiony
1773,debió,miał
1774,hubieras,Miałbyś
1775,últimamente,ostatnio
1776,piedra,złóg
1777,éramos,Byliśmy
1778,habló,mówić
1779,charles,Charles
1780,paga,płacić
1781,secretos,Tajniki
1782,digamos,Powiedzmy
1783,intención,zamiar
1784,humor,humor
1785,dura,ciężko
1786,dará,dać
1787,seguros,Ubezpieczenie
1788,leo,Lew
1789,adam,Adam
1790,and,oraz
1791,ángeles,aniołowie
1792,querría,Chciałbym
1793,cerrar,zamknąć
1794,conseguido,osiągnięte
1795,peso,waga
1796,víctimas,ofiary
1797,asesinado,zamordowany
1798,humana,człowiek
1799,directo,proste
1800,central,centralny
1801,termina,kończy się
1802,compañeros,Towarzysze
1803,escuchado,Słuchałem
1804,contento,zadowolony
1805,llevan,Niosą
1806,podré,Będę mógł
1807,oscuridad,ciemność
1808,actuar,Działać
1809,siga,Podążać
1810,llevado,realizowane
1811,comenzó,zaczęła się
1812,regresa,wrócił
1813,privado,prywatny
1814,mirada,wyglądać
1815,demonio,zło
1816,abierta,otwarty
1817,kevin,Kevin
1818,m,m
1819,llámame,Zadzwoń
1820,siguen,Oni kontynuują
1821,romper,przerwanie
1822,cambia,Zmiana
1823,fiscal,fiskalny
1824,jardín,dziedziniec
1825,natural,naturalny
1826,gratis,darmowy
1827,cuesta,koszt
1828,amenaza,groźba
1829,pon,położyć
1830,marca,Marka
1831,comenzar,zaczynać
1832,ponte,położyć
1833,medicina,lekarstwo
1834,podremos,będziemy mogli
1835,tomé,Brać
1836,preciosa,cenny
1837,sexual,seksualny
1838,acceso,dostęp
1839,necesidad,potrzebować
1840,dueño,właściciel
1841,merece,zasługuje na
1842,rayos,Promień
1843,d,d
1844,mintiendo,kłamliwy
1845,tantas,wiele
1846,imagino,wyobrażam sobie
1847,fantasma,duch
1848,creerlo,Uwierz w to
1849,llamé,dzwoniłem
1850,ponga,Położyć
1851,brian,Brian
1852,dé,z
1853,pollo,kurczak
1854,varios,kilka
1855,efecto,efekt
1856,felicidad,szczęście
1857,espada,miecz
1858,relaciones,relacje
1859,entró,wchodzę
1860,resultado,wynik
1861,sombrero,kapelusz
1862,menor,drobny
1863,recibido,Odebrane
1864,negra,Czarny
1865,to,do
1866,habido,Były
1867,limpio,Oczyszczone
1868,china,Chiny
1869,juegos,Gry
1870,correo,Poczta
1871,confía,Zaufanie
1872,video,wideo
1873,perfectamente,doskonale
1874,harán,Oni zrobią
1875,teatro,teatr
1876,dormido,we śnie
1877,local,lokalny
1878,quedado,lewy
1879,lástima,szkoda
1880,calles,ulice
1881,créeme,Zaufaj mi
1882,responsabilidad,odpowiedzialność
1883,búsqueda,Szukaj
1884,dedo,palec
1885,tonta,głupi
1886,recuerdos,pozdrowienia
1887,razones,powody
1888,escuchando,słuchający
1889,eric,Eric
1890,elegir,wybierać
1891,amas,Kochasz
1892,huele,zapach
1893,almuerzo,obiad
1894,cien,Sto
1895,adn,DNA
1896,tantos,tak wiele
1897,pago,Zapłata
1898,normalmente,zwykle
1899,mr,Pan
1900,pastel,ciasto
1901,bastardo,bękart
1902,cinta,Opaska
1903,pasé,dzieje się
1904,dígame,powiedz mi
1905,anna,Ania
1906,costa,Wybrzeże
1907,levántate,Wstań
1908,llamando,powołanie
1909,cerrado,Zamknięte
1910,interés,odsetki
1911,enfermera,pielęgniarka
1912,comienzo,początek
1913,olvidé,zapomniałem
1914,fuese,To było
1915,militar,wojskowy
1916,polvo,pył
1917,bella,piękny
1918,quedo,Pozostaję
1919,kate,Kate
1920,encontraste,w przeciwieństwie do tego
1921,voluntad,Będzie
1922,varias,kilka
1923,teoría,teoria
1924,roja,Czerwony
1925,cuento,fabuła
1926,escenario,sceneria
1927,diario,codzienny
1928,propiedad,własność
1929,agujero,otwór
1930,aspecto,wygląd zewnętrzny
1931,campamento,obóz
1932,descansar,reszta
1933,matarme,Zabij mnie
1934,metido,zaangażowany
1935,quiso,On chciał
1936,ángel,Anioł
1937,enviar,Wysłać
1938,impresionante,Wspaniały
1939,proceso,proces
1940,intentado,wypróbowany
1941,mio,moje
1942,fuente,czcionka
1943,alcalde,burmistrz
1944,ocurrido,stało się
1945,malos,zły
1946,carretera,Autostrada
1947,desapareció,On zniknął
1948,desayuno,śniadanie
1949,débil,słaby
1950,roma,Rzym
1951,sabido,znany
1952,comienza,zaczyna się
1953,tambien,Również
1954,intentarlo,próbować
1955,miembro,członek
1956,perdiendo,przegrywający
1957,hayan,mieć
1958,fueras,Ty byłeś
1959,resultados,wyniki
1960,jerry,Nocnik
1961,mata,Krzak
1962,sr,Pan
1963,valiente,odważny
1964,deber,musieć
1965,pecho,skrzynia
1966,gustó,smak
1967,oyes,słyszysz
1968,thomas,Tomasz
1969,periódico,Gazeta
1970,mami,mamusia
1971,piensan,Myślą
1972,washington,Waszyngton
1973,tv,telewizja
1974,cansada,Zmęczony
1975,limpiar,sprzątać
1976,crear,do stworzenia
1977,explicar,wyjaśnić
1978,robado,Skradziony
1979,resolver,rozwiązywać
1980,maté,kumpel
1981,guapo,Przystojny
1982,continuar,kontynuować
1983,sheriff,Szeryf
1984,funcionar,funkcjonować
1985,extra,dodatkowy
1986,primo,kuzyn
1987,manejar,uchwyt
1988,primeros,pierwszy
1989,acto,akt
1990,poniendo,wystawienie
1991,números,liczby
1992,kilómetros,kilometry
1993,andy,Andy
1994,llevará,mieć przy sobie
1995,rachel,Rachel
1996,niñas,Dziewczyny
1997,premio,nagroda
1998,internet,Internet
1999,harías,Ty byś zrobił
2000,inútil,Bezużyteczny
2001,domingo,Niedziela
2002,tomas,Trwa
2003,sensación,uczucie
2004,alcohol,alkohol
2005,tercera,trzeci
2006,agentes,Agenci
2007,disculpas,Przeprosiny
2008,antiguo,starożytny
2009,guapa,piękny
2010,asustado,przestraszony
2011,puedan,Móc
2012,sexy,seksowny
2013,genio,geniusz
2014,recuperar,odzyskać
2015,creemos,Wierzymy
2016,lengua,język
2017,ladrón,złodziej
2018,intenté,próbowałem
2019,examen,test
2020,deprisa,szybki
2021,montaña,Góra
2022,durmiendo,spanie
2023,disparar,strzelać
2024,entrenador,trener
2025,queso,ser
2026,entero,cały
2027,papeles,dokumenty tożsamości
2028,pones,Położyłeś
2029,modelo,Model
2030,fútbol,piłka nożna
2031,detener,mający
2032,lados,boki
2033,miembros,członkowie
2034,sábado,Sobota
2035,pongo,włożyłem
2036,mataron,Oni zabili
2037,vuelvas,Wróć
2038,talento,talent
2039,descubrir,odkryć
2040,gordo,Tłuszcz
2041,tribunal,Sąd
2042,toque,Dotknąłem
2043,wow,wow
2044,hables,Ty mówisz
2045,conocemos,Wiemy
2046,haberme,mieć
2047,dispuesto,gotowy
2048,tamaño,rozmiar
2049,dejen,Wyjechać
2050,maravillosa,wspaniale
2051,invitado,Gość
2052,importantes,ważny
2053,derechos,Prawa
2054,scott,Scott
2055,declaración,oświadczenie
2056,claramente,Wyraźnie
2057,pacientes,pacjenci
2058,pérdida,strata
2059,in,w
2060,iban,szli
2061,pudiste,Mógłbyś
2062,profundo,głęboko
2063,gas,gaz
2064,aeropuerto,Lotnisko
2065,consigue,Dostawać
2066,olvidar,zapominać
2067,gloria,chwała
2068,olvides,Zapominać
2069,volviendo,Wracając
2070,coge,Brać
2071,fué,to było
2072,llamaba,dzwoniłem
2073,pete,Pete
2074,tendrán,Oni będą mieć
2075,instituto,Instytut
2076,disparo,Strzelanie
2077,encuentras,Znalazles
2078,querían,Chcieli
2079,hablemos,Porozmawiajmy
2080,dia,dzień
2081,enviado,wysłać
2082,pertenece,To należy
2083,sienta,Czuć
2084,pensó,myśl
2085,cadáver,zwłoki
2086,gracia,Łaska
2087,doctora,lekarz
2088,escuchen,słuchać
2089,amante,kochanek
2090,temporada,pora roku
2091,kim,Kim
2092,cuerpos,ciała
2093,amigas,przyjaciele
2094,larry,Larry
2095,preguntaba,Zapytałam
2096,francés,Francuski
2098,techo,sufit
2099,íbamos,Chodziliśmy
2100,protección,ochrona
2101,médicos,Lekarze
2102,lisa,gładki
2103,venganza,zemsta
2104,pensamos,Myślimy
2105,walter,Walter
2106,contó,powiedział
2107,discutir,kłócić się
2108,comprendo,Rozumiesz
2109,idiotas,idioci
2110,enemigos,wrogowie
2111,camisa,podkoszulek
2112,superior,wyższy
2113,criminal,kryminalista
2114,preocupada,zmartwiony
2115,bote,łódź
2116,escribió,napisał
2117,llevamos,my nosimy
2118,testigos,Świadkowie
2119,recoger,ulec poprawie
2120,emily,Emilia
2121,truco,sztuczka
2122,jason,Jason
2123,original,oryginał
2124,pide,pyta
2125,jeff,Jeff
2126,rosa,Róża
2127,mama,matka
2128,negros,Czarni
2129,sobrevivir,przeżyć
2130,rostro,Twarz
2131,crédito,kredyt
2132,compartir,dzielić się
2133,saca,wyciąga
2134,irás,pójdziesz
2135,pequeñas,mały
2136,veía,Widziałem
2137,empezando,startowy
2138,registro,Rejestracja
2139,continúa,kontynuować
2140,grandioso,wspaniały
2141,viniste,czy przyszedłeś
2142,esquina,narożnik
2143,contado,Gotówka
2144,tengamos,Zróbmy
2145,cientos,setki
2146,tormenta,burza
2147,relájate,po prostu wyluzuj
2148,siéntese,Usiądź
2149,chocolate,czekolada
2150,matt,Matt
2151,pedazo,kawałek
2152,tomo,biorę
2153,olor,zapach
2154,ciencia,nauki ścisłe
2155,kelly,Kelly
2156,conexión,Połączenie
2157,vieron,Zobaczyli
2158,salón,salon
2159,sucio,brudny
2160,firma,podpis
2161,vimos,widzieliśmy
2162,pidiendo,pytając
2163,casarse,pobrać się
2164,bebida,napój
2165,tercer,trzeci
2166,propios,własny
2167,fuertes,potężny
2168,lluvia,deszcz
2169,recién,nowo
2170,tomaré,wezmę
2171,complicado,skomplikowany
2172,europa,Europa
2173,toques,Dotknięci
2174,cámaras,kamery
2175,visión,wizja
2176,llego,przybył
2177,americano,amerykański
2178,diversión,zabawa
2179,pareció,wydawało się
2180,libras,funty
2181,curso,gatunek
2182,disco,dysk
2183,probable,prawdopodobny
2184,precioso,piękny
2185,tenia,miał
2186,lago,jezioro
2187,leído,czytać
2188,consiguió,dostał
2189,parecido,podobny
2190,material,materiał
2191,discurso,przemówienie
2192,entera,cały
2193,it,Przedmiot
2194,corta,niski
2195,completa,kompletny
2196,decirles,Powiedz im
2197,lunes,Poniedziałek
2198,efectivo,gotówka
2199,cura,gojenie : zdrowienie
2200,antigua,starożytny
2201,hablan,Oni mówią
2202,juntas,razem
2203,william,William
2204,cáncer,nowotwór
2205,funeral,pogrzeb
2206,jodido,pierdolony
2207,dave,Dave
2208,artista,artysta
2209,favorito,Ulubiony
2210,guste,Tak jak
2211,cae,spada
2212,termine,skończyłem
2213,entrevista,wywiad
2214,sir,Pan
2215,pintura,farba
2216,quieto,nadal
2217,falso,podróbka
2218,india,Indie
2219,corto,niski
2220,inteligencia,inteligencja
2221,destruir,zniszczyć
2222,cargos,opłaty
2223,podías,Mógłbyś
2224,mentiras,kłamstwa
2225,señoras,damski
2226,helado,mrożony
2227,felicidades,Gratulacje
2228,camioneta,awangarda
2229,mueve,ruszaj się
2230,aparte,oprócz
2231,rock,głaz
2232,tumba,mogiła
2233,seguimos,Kontynuujemy
2234,hablaba,ona mówiła
2235,verle,zobaczyć go
2236,mapa,Mapa
2237,tarea,zadanie
2238,cambió,zmiana
2239,móvil,mobilny
2240,equivocada,zło
2241,responder,odpowiadać
2242,vacío,pusty
2243,felicitaciones,Gratulacje
2244,computadora,komputer
2245,estudiante,student
2246,muriendo,umierający
2247,construir,tworzyć
2248,conocen,Oni wiedzą
2249,clara,jasne
2250,solución,rozwiązanie
2251,mundial,świat
2252,plato,danie
2253,famoso,słynny
2254,des,des
2255,dirá,Powie
2256,ambas,Zarówno
2257,tecnología,technologia
2258,notas,klas
2259,malditos,Cholera
2260,cabrón,głupek
2261,condiciones,warunki
2262,dudo,wątpię
2263,robó,kradzież
2264,escucho,słucham
2265,laura,Laura
2266,rápidamente,szybko
2267,bordo,tablica
2268,nieve,śnieg
2269,mensajes,wiadomości
2270,fecha,data
2271,violencia,przemoc
2272,n,n
2273,sujeto,Przedmiot
2274,acciones,działania
2275,fría,przeziębienie
2276,droga,lek
2277,saldrá,Okaże się
2278,suponía,przypuszczalny
2279,empezamos,Zaczynamy
2280,errores,błędy
2281,grace,Łaska
2282,siglo,wiek
2283,molesto,smutny
2284,acabamos,skończyliśmy
2285,sabéis,"Wiesz, że"
2286,cortar,skaleczenie
2287,seria,byłoby
2288,muevas,ruszaj się
2289,fortuna,fortuna
2290,of,z
2291,imaginar,Wyobrazić sobie
2292,archivos,dokumentacja
2293,presencia,obecność
2294,familias,rodziny
2295,ey,Hej
2296,quedas,Ty zostań
2297,solas,sam
2298,oficiales,Oficerowie
2299,aventura,przygoda
2300,gira,wycieczka
2301,social,Społeczny
2302,comunidad,wspólnota
2303,annie,Annie
2304,alan,Alan
2305,cero,zero
2306,clark,Clark
2307,esperamos,czekamy
2308,ocupada,zajęty
2309,muévete,pójść dalej
2310,convertido,Przekształcony
2311,carl,Carl
2312,pieza,część
2313,estómago,żołądek
2314,disparó,Strzelanie
2315,legal,prawny
2316,conseguí,mam
2317,emma,Emma
2318,carter,miska olejowa
2319,california,Kalifornia
2320,rara,dziwny
2321,estudiantes,studenci
2322,reino,Królestwo
2323,alegría,szczęście
2324,barrio,sąsiedztwo
2325,granja,gospodarstwo rolne
2326,podéis,możesz
2327,esfuerzo,wysiłek
2328,trabajaba,pracowałem
2329,claire,Claire
2330,perdóname,Wybacz mi
2331,tesoro,skarb
2332,empleo,stanowisko
2333,compré,kupiłem
2334,cirugía,Chirurgia
2335,dejamos,Opuszczamy
2336,busco,Szukam
2337,trabajas,pracujesz
2338,clave,Kod Klucza
2339,aparentemente,widocznie
2340,bravo,Brawo
2341,ed,wyd
2342,desearía,chciałbym
2343,cerrada,Zamknięte
2344,new,Nowy
2345,chicago,Chicago
2346,controlar,sprawdzać
2347,pregunté,pytałem o
2348,mostrar,pokazywać
2349,piloto,pilot
2350,pocas,mało
2351,tuvieron,Oni mieli
2352,ayudarle,pomóc Ci
2353,bolso,torebka
2354,llorando,płacz
2355,kyle,Kyle
2356,duerme,spać
2357,dejarme,Zostaw mnie
2358,intentó,wypróbowany
2359,respirar,oddychać
2360,aparece,pojawić się
2361,campaña,kampania
2362,amistad,przyjaźń
2363,corriente,strumień
2364,viven,oni żyją
2365,huesos,Kości
2366,invitados,goście
2367,planta,zakład
2368,ritmo,huśtać się
2369,respuestas,Odpowiedzi
2370,socio,partner
2371,esperas,Oczekujesz
2372,caído,upadły
2373,motor,silnik
2374,mono,kokarda
2375,llevaron,Nieśli
2376,página,strona
2377,poquito,trochę
2378,u,lub
2379,habíamos,Mieliśmy
2380,encontraremos,My znajdziemy
2381,ruego,błagam
2382,dejan,Odejdź
2383,aburrido,znudzony
2384,paquete,pakiet
2385,casada,żonaty
2386,llevarte,Zabierz cię
2387,ted,Przetrząsać
2388,combate,walka
2389,útil,Użyteczne
2390,castillo,zamek
2391,bola,piłka
2392,canciones,Piosenki
2393,mataré,zabiję
2394,muchísimo,bardzo
2395,asistente,uczestnik
2396,llegaron,Przybyli
2397,correcta,prawidłowy
2398,pondré,położę
2399,simon,Szymon
2400,comido,Zjedzony
2401,salgan,schodzić
2402,empecé,ja zacząłem
2403,tirar,rzucić
2404,pasan,podawać
2405,cierta,PRAWDA
2406,honesto,uczciwy
2407,carro,samochód
2408,limpia,czysty
2409,volví,wróciłem
2410,confío,ja ufam
2411,venta,wyprzedaż
2412,huir,uciec
2413,apareció,pokazał się
2414,vais,ty idź
2415,compromiso,zaangażowanie
2416,gustas,Tak jak
2417,aseguro,zapewniam
2418,ira,zamierzać
2419,promesa,obietnica
2420,decírselo,Powiedz mu
2421,cuáles,który
2422,compras,zakupy
2423,importancia,znaczenie
2424,lección,lekcja
2425,hablaré,będę mówił
2426,hacerse,być zrobionym
2427,personalmente,osobiście
2428,roger,zrozumiałem
2429,luke,Łukasz
2430,bolsillo,kieszeń
2431,enojado,zirytowany
2432,artículo,Artykuł
2433,labios,usta
2434,cola,ogon
2435,estemos,Let
2436,whisky,whisky
2437,taza,Miska
2438,despues,później
2439,gary,Gary
2440,preguntarte,zapytać ciebie
2441,pelota,piłka
2442,caminando,pieszy
2443,andar,spcerować
2444,crea,tworzy
2445,chaqueta,kurtka
2446,importaría,umysł
2447,den,legowisko
2448,llegará,zasięg
2449,interesado,zainteresowany
2450,atrapado,złapany
2451,supiera,Wiedziałem
2452,matarlo,Zabij go
2453,árboles,drzewa
2454,obvio,oczywiste
2455,amaba,kochałem
2456,hablaremos,będziemy rozmawiać
2457,entrenamiento,trening
2458,pescado,ryba
2459,últimas,Ostatni
2460,pobres,słaby
2461,dioses,bogowie
